,Item,Reg_Price,Sale_Price,Size,Unit_Size,Image,Category,Subcategory
107,Vermont Bread Company Bread Soft White,$2.99 ,,24 oz bag, | $0.12 / oz,./Bread_Bakery_Packaged_Bread_files/45OML.jpg,Bread_Bakery,Packaged_Bread
108,Panera Bread at Home Country White,$3.49 ,,20 oz pkg, | $0.17 / oz,./Bread_Bakery_Packaged_Bread_files/YOCQD.jpg,Bread_Bakery,Packaged_Bread
109,Stop & Shop Bread Wheat Light,$2.69 ,,16 oz pkg, | $0.17 / oz,./Bread_Bakery_Packaged_Bread_files/MLXLK.jpg,Bread_Bakery,Packaged_Bread
110,Sara Lee Delightful 45 Calories 100% Multigrain Bread,$4.29 ,,20 oz pkg, | $0.21 / oz,./Bread_Bakery_Packaged_Bread_files/QU196.jpg,Bread_Bakery,Packaged_Bread
111,Stop & Shop Premium Bread Stoneground Wheat,$2.99 ,,24 oz pkg, | $0.12 / oz,./Bread_Bakery_Packaged_Bread_files/WQL7V.jpg,Bread_Bakery,Packaged_Bread
112,Pepperidge Farm Swirl Bread Cinnamon Raisin 100% Whole Wheat,$3.99 ,,16 oz pkg, | $0.25 / oz,./Bread_Bakery_Packaged_Bread_files/1I6CZ.jpg,Bread_Bakery,Packaged_Bread
113,Pepperidge Farm Farmhouse Bread Sourdough,$3.99 ,,24 oz pkg, | $0.17 / oz,./Bread_Bakery_Packaged_Bread_files/1UK4H.jpg,Bread_Bakery,Packaged_Bread
114,Dave's Killer Bread Good Seed Organic,$5.89 ,,27 oz pkg, | $0.22 / oz,./Bread_Bakery_Packaged_Bread_files/RI7SF.jpg,Bread_Bakery,Packaged_Bread
115,Stop & Shop Bread Rye Seedless Light,$2.99 ,,16 oz pkg, | $0.19 / oz,./Bread_Bakery_Packaged_Bread_files/36DPW.jpg,Bread_Bakery,Packaged_Bread
116,Pepperidge Farm Light Style Bread 7 Grain,$4.29 ,,16 oz pkg, | $0.27 / oz,./Bread_Bakery_Packaged_Bread_files/0HPJT.jpg,Bread_Bakery,Packaged_Bread
